sep=;
Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
PLF;202404111520;10.90;0.00;2.00;202.00;63.90;4.30;18.00;15.10;20.90;911.40;-;1032.50;1622.00;-;-;-;-;-;-;-
ROB;202404111520;19.00;0.00;10.00;432.00;34.90;3.20;273.00;8.30;17.60;904.70;-;1029.40;1612.40;-;-;-;-;-;-;-
PUY;202404111520;15.60;0.00;0.00;348.00;51.50;5.60;193.00;4.70;8.60;977.30;1031.00;1031.80;-;-;-;-;-;-;-;-
QUI;202404111520;-;-;-;-;-;-;273.00;8.30;15.80;981.90;-;1032.20;-;-;-;-;-;-;-;-
ROE;202404111520;8.00;0.00;10.00;461.00;56.20;-0.20;14.00;3.60;9.00;821.50;-;1032.80;1613.70;-;-;-;-;-;-;-
RUE;202404111520;13.80;0.00;0.00;189.00;56.20;5.20;326.00;6.50;9.40;960.40;-;1033.00;1630.60;-;-;-;-;-;-;-
SBE;202404111520;9.90;0.00;10.00;450.00;58.50;2.20;317.00;19.40;33.10;847.40;-;1032.30;1614.60;-;-;-;-;-;-;-
HAI;202404111520;13.40;0.00;10.00;434.00;56.30;4.90;93.00;10.40;18.40;948.20;-;1033.00;1630.60;-;-;-;-;-;-;-
SAM;202404111520;12.00;0.00;10.00;451.00;43.40;-0.10;37.00;13.30;19.40;840.10;-;1032.30;1611.60;-;-;-;-;-;-;-
SAG;202404111520;13.50;0.00;-;-;60.10;5.90;326.00;5.40;10.80;940.00;-;1032.90;1630.70;-;-;-;-;-;-;-
SHA;202404111520;16.20;0.00;10.00;452.00;45.70;4.50;113.00;10.80;20.20;980.30;1032.00;1032.80;-;-;-;-;-;-;-;-
SRS;202404111520;15.50;0.00;-;-;58.90;7.50;284.00;17.60;29.50;-;-;-;-;-;-;-;-;-;-;-
SCM;202404111520;-;-;-;-;-;-;260.00;11.50;15.50;983.70;-;1032.60;-;-;-;-;-;-;-;-
SPF;202404111520;13.80;0.00;-;455.00;62.60;6.80;19.00;19.40;28.40;945.20;-;1033.00;1631.60;-;-;-;-;-;-;-
SCU;202404111520;18.40;0.00;10.00;420.00;35.10;2.70;86.00;8.30;13.00;881.30;-;1030.70;1614.50;-;-;-;-;-;-;-
SIA;202404111520;9.40;0.00;10.00;457.00;50.70;-0.30;71.00;9.40;14.00;830.80;-;1032.80;1614.70;-;-;-;-;-;-;-
SIM;202404111520;14.40;0.00;10.00;494.00;34.30;-1.10;295.00;8.60;15.50;863.90;-;1031.20;1610.00;-;-;-;-;-;-;-
SIO;202404111520;17.80;0.00;10.00;484.00;47.80;6.60;256.00;23.40;35.60;971.80;1027.90;1029.20;-;-;-;-;-;-;-;-
PRE;202404111520;-;-;-;-;-;-;10.00;15.80;25.90;-;-;-;-;-;-;-;-;-;-;-
STC;202404111520;-;-;0.00;353.00;-;-;-;-;-;-;-;-;-;-;313.00;11.20;15.50;12.10;53.00;2.80
STG;202404111520;13.00;0.00;10.00;424.00;55.30;4.30;10.00;5.80;11.90;941.80;-;1033.20;1631.10;-;-;-;-;-;-;-
SMM;202404111520;17.50;0.00;10.00;417.00;37.20;2.70;193.00;7.90;13.70;872.60;-;1030.70;1610.90;-;-;-;-;-;-;-
SBO;202404111520;20.90;0.00;10.00;376.00;47.50;9.30;193.00;9.70;16.60;985.80;1026.70;1028.00;-;-;-;-;-;-;-;-
STK;202404111520;-;-;-;-;-;-;58.00;7.60;16.60;985.10;-;1032.80;-;-;-;-;-;-;-;-
